00:50:C2:27:20:00/36	VerexTec	Verex Technology
00:50:C2:27:30:00/36	Servicio	Servicios Condumex, S. A. de C. V.
00:50:C2:27:40:00/36	Fundació	Fundación TECNALIA Research & Innovation
00:50:C2:27:50:00/36	ExtremeE	Extreme Engineering Solutions
00:50:C2:27:60:00/36	TielineR	Tieline Research Pty Ltd
00:50:C2:27:70:00/36	TR	T/R Systems, Inc.
00:50:C2:27:80:00/36	Replicom	Replicom Ltd.
00:50:C2:27:90:00/36	PATLITE	PATLITE Corporation
00:50:C2:27:A0:00/36	Maestro	Maestro Pty Ltd
00:50:C2:27:B0:00/36	LinkSecu	LinkSecurity A/S
00:50:C2:27:C0:00/36	Danlaw	Danlaw Inc
00:50:C2:27:D0:00/36	AlliedTe	Allied Telesis K.K.
00:50:C2:27:E0:00/36	AnaLogic	AnaLogic Computers Ltd.
00:50:C2:27:F0:00/36	AirBroad	Air Broadband Communications, Inc.
00:50:C2:28:00:00/36	Agecodag	Agecodagis Sarl
00:50:C2:28:10:00/36	Cabtroni	Cabtronix AG
00:50:C2:28:20:00/36	Telvent
00:50:C2:28:30:00/36	Ansitex	Ansitex Corp.
00:50:C2:28:40:00/36	Micronet	Micronet Ltd.
00:50:C2:28:50:00/36	Littwin	Littwin GmbH & Co KG
00:50:C2:28:60:00/36	Ateme
00:50:C2:28:70:00/36	TECNEWEl	TECNEW Electronics Engineering Cr., Ltd.
00:50:C2:28:80:00/36	RPM	RPM Systems Corporation
00:50:C2:28:90:00/36	Rototype	Rototype S.p.A.
00:50:C2:28:A0:00/36	RealTime	Real Time Systems
00:50:C2:28:B0:00/36	OrionTec	Orion Technologies,LLC
00:50:C2:28:C0:00/36	Futaba	Futaba Corporation
00:50:C2:28:D0:00/36	Axode	Axode Sa
00:50:C2:28:E0:00/36	Tattile	Tattile srl
00:50:C2:28:F0:00/36	Spellman	Spellman High Voltage Electronics Corp
00:50:C2:29:00:00/36	Ebneuro	Ebneuro Spa
00:50:C2:29:10:00/36	ChauvinA	Chauvin Arnoux
00:50:C2:29:20:00/36	AMIRIX	AMIRIX Systems
00:50:C2:29:30:00/36	IPUnity	IP Unity
00:50:C2:29:40:00/36	EPSa	EPSa GmbH
00:50:C2:29:50:00/36	Logosol	Logosol, Inc.
00:50:C2:29:60:00/36	OpVista
00:50:C2:29:70:00/36	Kinetics
00:50:C2:29:80:00/36	HarvadUn	Harvad University
00:50:C2:29:90:00/36	CAD-UL	CAD-UL GmbH
00:50:C2:29:A0:00/36	PacketTe	Packet Techniques Inc.
00:50:C2:29:B0:00/36	ACDElekt	ACD Elektronik GmbH
00:50:C2:29:C0:00/36	2NTELEKO	2N TELEKOMUNIKACE a.s.
00:50:C2:29:D0:00/36	GlobeWir	Globe Wireless
00:50:C2:29:E0:00/36	SELEXCom	SELEX Communications Ltd
00:50:C2:29:F0:00/36	Baudisch	Baudisch Electronic GmbH
00:50:C2:2A:00:00/36	Sterling	Sterling Industry Consult GmbH
00:50:C2:2A:10:00/36	Infineti	Infinetix Corp
00:50:C2:2A:20:00/36	EpelsaSL	Epelsa, SL
00:50:C2:2A:30:00/36	West-Com	West-Com Nurse Call Systems, Inc.
00:50:C2:2A:40:00/36	XipherEm	Xipher Embedded Networking
00:50:C2:2A:50:00/36	SeptierC	Septier Communication Ltd
00:50:C2:2A:60:00/36	Brannstr	Brannstroms Elektronik AB
00:50:C2:2A:70:00/36	MicroSys	Micro System Architecturing srl
00:50:C2:2A:80:00/36	DVTelIsr	DVTel Israel Ltd.
00:50:C2:2A:90:00/36	DrStaige	Dr. Staiger, Mohilo + Co GmbH
00:50:C2:2A:A0:00/36	DEUTAWer	DEUTA Werke GmbH
00:50:C2:2A:B0:00/36	AUMInfot	AUM Infotech Private Limited
00:50:C2:2A:C0:00/36	BBIEngin	BBI Engineering, Inc.
00:50:C2:2A:D0:00/36	ABBT&D	ABB T&D Spa
00:50:C2:2A:E0:00/36	QuestRet	Quest Retail Technology Pty Ltd
00:50:C2:2A:F0:00/36	CSACompu	CSA Computer & Antriebstechnik GmbH
00:50:C2:2B:00:00/36	TeldaEle	Telda Electronics
00:50:C2:2B:10:00/36	Private
00:50:C2:2B:20:00/36	SmithsDe	Smiths Detection
00:50:C2:2B:30:00/36	Embedded	Embedded Systems Design
00:50:C2:2B:40:00/36	Polatis	Polatis Ltd
00:50:C2:2B:50:00/36	HobbesCo	Hobbes Computer Network Accessories
00:50:C2:2B:60:00/36	Softier	Softier Inc.
00:50:C2:2B:70:00/36	RAFI	RAFI GmbH & Co.KG
00:50:C2:2B:80:00/36	AdmiralS	Admiral Secure Products, Ltd.
00:50:C2:2B:90:00/36	Richmond	Richmond Sound Design Ltd.
00:50:C2:2B:A0:00/36	NorcoInd	Norco Industrial Technology Inc
00:50:C2:2B:B0:00/36	TAInstru	TA Instruments Ltd
00:50:C2:2B:C0:00/36	UsterTec	Uster Technologies AG
00:50:C2:2B:D0:00/36	StorLink	StorLink Semi
00:50:C2:2B:E0:00/36	Lipowsky	Lipowsky Industrie-Elektronik GmbH
00:50:C2:2B:F0:00/36	Perax
00:50:C2:2C:00:00/36	Magellan	Magellan Technology Pty Limited
00:50:C2:2C:10:00/36	StageTec	Stage Tec Entwicklungsgesellschaft für professionelle Audio
00:50:C2:2C:20:00/36	Smarteye	Smarteye Corporation
00:50:C2:2C:30:00/36	DigitalS	Digital SP Ltd
00:50:C2:2C:40:00/36	Invensys	Invensys Energy Systens (NZ) Limited
00:50:C2:2C:50:00/36	Elman	Elman srl
00:50:C2:2C:60:00/36	InitialE	Initial Electronic Security Systems
00:50:C2:2C:70:00/36	Siliquen	Siliquent Technologies Ltd
00:50:C2:2C:80:00/36	Selco
00:50:C2:2C:90:00/36	RosemanE	Roseman Engineering Ltd.
00:50:C2:2C:A0:00/36	Putercom	Putercom Co., Ltd
00:50:C2:2C:B0:00/36	FACTSEng	FACTS Engineering LLC
00:50:C2:2C:C0:00/36	Embedded	Embedded Toolsmiths
00:50:C2:2C:D0:00/36	DataWind	DataWind Research
00:50:C2:2C:E0:00/36	RossVide	Ross Video Limited
00:50:C2:2C:F0:00/36	Diseñode	Diseño de Sistemas en Silicio S.A.
00:50:C2:2D:00:00/36	WorthDat	Worth Data, Inc.
00:50:C2:2D:10:00/36	Miritek	Miritek, Inc.
00:50:C2:2D:20:00/36	AirnetCo	Airnet Communications Corp
00:50:C2:2D:30:00/36	GerberSc	Gerber Scientific Products, Inc.
00:50:C2:2D:40:00/36	Integrat	Integrated System Solution Corp.
00:50:C2:2D:50:00/36	Pixy	Pixy Ag
00:50:C2:2D:60:00/36	WISTechn	WIS Technologies
00:50:C2:2D:70:00/36	NeoElect	Neo Electronics Ltd
00:50:C2:2D:80:00/36	Syn-Tech	Syn-Tech Systems Inc
00:50:C2:2D:90:00/36	Private
00:50:C2:2D:A0:00/36	PYRAMIDC	PYRAMID Computer GmbH
